Easting,Northing,Name,T/A,Grant Number,Driller,Date Drilled,Abstraction Volume per day,District,Borehole Depth,Static Water Level,Yield l/s,Status,Functionality,Permanent Casing Diameter,Type of Pump Installed,Water Point Use,Licenced,Well Development Duration,Pump Capacity,Pump Installed Depth,Main Water Strike Depth (MBGL),DWL,Turbidity,Temp,Conductivity,pH,Alkalinity,Hardness,Calcium,Magnesium,Sodium,Potassium,Carbonate ,Bicarbonate,Sulphate ,Nitrate,Ammonium , Iron ,Manganese,Flouride,Dissolved_Solids,Chlorine,Suspended_Solids,Facaeal,E. Coli
489223,8475741,Mchinji Water Office,Mikundi,,Borehole Construction Fund,,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509098,8486845,Mnkhota/Mozi,Mikundi,,Sawa Group,12/5/2016,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519763,8483561,Kalinde,Kalulu,,Sawa Group,6/20/2022,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520013,8505198,Chimatiro,Chipala,,Sawa Group,10/24/2016,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522216,8565482,Chisazima,Mikundi,,Sawa Group,11/16/2016,,Kasungu,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523423,8485242,Fiose,,,Sawa Group,11/30/2016,,Mchinji,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527762,8928500,Chitipa wellfield,,,Borehole Construction Fund,,,Chitipa,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530732,8927913,Chitipa water office,,,Borehole Construction Fund,,,Chitipa,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530736,8927908,Chitipa water office,,,,,,Chitipa,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,76.3,,89,5.52,26,12,3.7,0.66,13,4.43,0,32,1.71,0.201,,0.22,0.036,0.01,53,12.2,55,52,
532092,8724713,Echilumbeni,,,Borehole Construction Fund,,,Mzimba,0.00001,0.00001,0.00001,Dry well ,Functional,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
